agegroup;age_from;age_to;gender;reported_cases;reported_deaths;pop_italy;deathrate_germany;death_per_mio;cases_per_mio
0-9;0;9;m;75;0;2617094;0,0005;0,0000;28,6577
10-19;10;19;m;97;0;2980600;0,0002;0,0000;32,5438
20-29;20;29;m;419;0;3212204;0,0005;0,0000;130,4400
30-39;30;39;m;829;4;3559151;0,0008;1,1239;232,9207
40-49;40;49;m;1491;5;4593789;0,0021;1,0884;324,5687
50-59;50;59;m;2633;34;4578610;0,0060;7,4258;575,0654
60-69;60;69;m;3007;113;3511037;0,0146;32,1842;856,4421
70-79;70;79;m;3461;469;2727000;0,0347;171,9839;1269,1602
80-89;80;89;m;2322;491;1395953;0,0892;351,7310;1663,3798
â‰¥90;90;999;m;287;81;209328;0,2350;386,9525;1371,0540
0-9;0;9;f;45;0;2473388;0,0004;0,0000;18,1937
10-19;10;19;f;87;0;2788274;0,0001;0,0000;31,2021
20-29;20;29;f;517;0;2989066;0,0002;0,0000;172,9637
30-39;30;39;f;794;0;3515067;0,0004;0,0000;225,8847
40-49;40;49;f;1425;4;4648865;0,0012;0,8604;306,5264
50-59;50;59;f;2002;12;4773621;0,0032;2,5138;419,3881
60-69;60;69;f;1386;29;3826173;0,0078;7,5794;362,2419
70-79;70;79;f;1621;130;3235533;0,0205;40,1789;500,9994
80-89;80;89;f;1518;234;2159593;0,0671;108,3537;702,9102
â‰¥90;90;999;f;472;84;565200;0,2042;148,6200;835,1026
