Code,Region,Einwohner,Flaeche,Gemeinden
1,Piemont,4462432,25402,1206
2,Aostatal,128376,3263,74
3,Lombardei,9947111,23856,1544
4,Trentino-SÃ¼dtirol,1039534,13603,333
5,Venetien,4945943,18390,581
6,Friaul-Julisch Venetien,1235623,7712,218
7,Ligurien,1617149,5421,235
8,Emilia-Romagna,4442501,22450,348
9,Toskana,3729641,22988,273
10,Umbrien,882015,8456,92
11,Marken,1525271,9366,228
12,Latium,5879082,17210,378
13,Abruzzen,1311580,10796,305
14,Molise,305617,4438,136
15,Kampanien,5801692,13592,550
16,Apulien,4029053,19572,258
17,Basilikata,562869,9996,131
18,Kalabrien,1947131,15081,404
19,Sizilien,4999891,25701,390
20,Sardinien,1639591,24084,377
