Alter;Zeitraum;gender;deathrate;age
0 ;A;m;0,00355799;0
1 ;A;m;0,00028674;1
2 ;A;m;0,0001689;2
3 ;A;m;0,00010625;3
4 ;A;m;0,00010642;4
5 ;A;m;9,935E-05;5
6 ;A;m;9,456E-05;6
7 ;A;m;7,673E-05;7
8 ;A;m;8,464E-05;8
9 ;A;m;6,85E-05;9
10 ;A;m;7,47E-05;10
11 ;A;m;8,12E-05;11
12 ;A;m;6,433E-05;12
13 ;A;m;9,122E-05;13
14 ;A;m;0,00012483;14
15 ;A;m;0,0001507;15
16 ;A;m;0,00024631;16
17 ;A;m;0,00028228;17
18 ;A;m;0,00037497;18
19 ;A;m;0,00040767;19
20 ;A;m;0,00044903;20
21 ;A;m;0,00042592;21
22 ;A;m;0,00045609;22
23 ;A;m;0,00041893;23
24 ;A;m;0,0004775;24
25 ;A;m;0,00045082;25
26 ;A;m;0,0004666;26
27 ;A;m;0,00048965;27
28 ;A;m;0,00049911;28
29 ;A;m;0,00057045;29
30 ;A;m;0,00058054;30
31 ;A;m;0,00067469;31
32 ;A;m;0,00068715;32
33 ;A;m;0,00073444;33
34 ;A;m;0,00079414;34
35 ;A;m;0,00085659;35
36 ;A;m;0,00089093;36
37 ;A;m;0,0010015;37
38 ;A;m;0,00103425;38
39 ;A;m;0,00109674;39
40 ;A;m;0,00125761;40
41 ;A;m;0,00132704;41
42 ;A;m;0,00144346;42
43 ;A;m;0,0015843;43
44 ;A;m;0,00180562;44
45 ;A;m;0,00201464;45
46 ;A;m;0,00220327;46
47 ;A;m;0,0024276;47
48 ;A;m;0,00272782;48
49 ;A;m;0,00304465;49
50 ;A;m;0,00340019;50
51 ;A;m;0,00376454;51
52 ;A;m;0,00428601;52
53 ;A;m;0,00482121;53
54 ;A;m;0,0054668;54
55 ;A;m;0,0060419;55
56 ;A;m;0,0067489;56
57 ;A;m;0,00738687;57
58 ;A;m;0,00832665;58
59 ;A;m;0,00913909;59
60 ;A;m;0,00993406;60
61 ;A;m;0,01092612;61
62 ;A;m;0,01200564;62
63 ;A;m;0,01311172;63
64 ;A;m;0,01427103;64
65 ;A;m;0,01547851;65
66 ;A;m;0,01646079;66
67 ;A;m;0,01790877;67
68 ;A;m;0,01941253;68
69 ;A;m;0,02081856;69
70 ;A;m;0,02274331;70
71 ;A;m;0,02436666;71
72 ;A;m;0,02643125;72
73 ;A;m;0,0288836;73
74 ;A;m;0,03075516;74
75 ;A;m;0,03424591;75
76 ;A;m;0,03736671;76
77 ;A;m;0,04140617;77
78 ;A;m;0,04590807;78
79 ;A;m;0,05111947;79
80 ;A;m;0,05828064;80
81 ;A;m;0,065656;81
82 ;A;m;0,07439181;82
83 ;A;m;0,08308853;83
84 ;A;m;0,09446417;84
85 ;A;m;0,10740229;85
86 ;A;m;0,11995688;86
87 ;A;m;0,13352569;87
88 ;A;m;0,14951618;88
89 ;A;m;0,16406864;89
90 ;A;m;0,1826334;90
91 ;A;m;0,20201201;91
92 ;A;m;0,22593664;92
93 ;A;m;0,24402597;93
94 ;A;m;0,27084145;94
95 ;A;m;0,29365205;95
96 ;A;m;0,31417842;96
97 ;A;m;0,33147163;97
98 ;A;m;0,34796946;98
99 ;A;m;0,36909453;99
100 ;A;m;0,38971586;100
0 ;B;m;0,00356226;0
1 ;B;m;0,00027641;1
2 ;B;m;0,00015611;2
3 ;B;m;0,00010894;3
4 ;B;m;0,00010653;4
5 ;B;m;0,00010046;5
6 ;B;m;9,091E-05;6
7 ;B;m;8,614E-05;7
8 ;B;m;8,552E-05;8
9 ;B;m;8,001E-05;9
10 ;B;m;7,924E-05;10
11 ;B;m;7,74E-05;11
12 ;B;m;6,884E-05;12
13 ;B;m;9,588E-05;13
14 ;B;m;0,00013566;14
15 ;B;m;0,00015987;15
16 ;B;m;0,00024747;16
17 ;B;m;0,00027475;17
18 ;B;m;0,00038318;18
19 ;B;m;0,00039767;19
20 ;B;m;0,00043184;20
21 ;B;m;0,00040526;21
22 ;B;m;0,00045366;22
23 ;B;m;0,00040954;23
24 ;B;m;0,00047486;24
25 ;B;m;0,00043792;25
26 ;B;m;0,00045886;26
27 ;B;m;0,00046183;27
28 ;B;m;0,00048486;28
29 ;B;m;0,00052165;29
30 ;B;m;0,00056139;30
31 ;B;m;0,00061587;31
32 ;B;m;0,000634;32
33 ;B;m;0,00073168;33
34 ;B;m;0,00076954;34
35 ;B;m;0,00080225;35
36 ;B;m;0,00085947;36
37 ;B;m;0,00097983;37
38 ;B;m;0,00106768;38
39 ;B;m;0,00111397;39
40 ;B;m;0,00123774;40
41 ;B;m;0,00133379;41
42 ;B;m;0,00144076;42
43 ;B;m;0,00153974;43
44 ;B;m;0,001798;44
45 ;B;m;0,0019587;45
46 ;B;m;0,00217916;46
47 ;B;m;0,00236791;47
48 ;B;m;0,00265551;48
49 ;B;m;0,00297126;49
50 ;B;m;0,00332421;50
51 ;B;m;0,00370198;51
52 ;B;m;0,00414072;52
53 ;B;m;0,00469739;53
54 ;B;m;0,00531626;54
55 ;B;m;0,00591257;55
56 ;B;m;0,00658737;56
57 ;B;m;0,00733233;57
58 ;B;m;0,00815644;58
59 ;B;m;0,00893714;59
60 ;B;m;0,00983124;60
61 ;B;m;0,01082143;61
62 ;B;m;0,01194124;62
63 ;B;m;0,01297814;63
64 ;B;m;0,01425244;64
65 ;B;m;0,01542111;65
66 ;B;m;0,01660601;66
67 ;B;m;0,01799621;67
68 ;B;m;0,01918012;68
69 ;B;m;0,02109939;69
70 ;B;m;0,02230277;70
71 ;B;m;0,0246394;71
72 ;B;m;0,02618392;72
73 ;B;m;0,02874623;73
74 ;B;m;0,03108519;74
75 ;B;m;0,03362174;75
76 ;B;m;0,03717284;76
77 ;B;m;0,04069575;77
78 ;B;m;0,04546946;78
79 ;B;m;0,05046754;79
80 ;B;m;0,05642286;80
81 ;B;m;0,06453153;81
82 ;B;m;0,07265536;82
83 ;B;m;0,08146408;83
84 ;B;m;0,09199371;84
85 ;B;m;0,10468035;85
86 ;B;m;0,11770793;86
87 ;B;m;0,1321041;87
88 ;B;m;0,14870369;88
89 ;B;m;0,16511242;89
90 ;B;m;0,18156323;90
91 ;B;m;0,19907849;91
92 ;B;m;0,22537725;92
93 ;B;m;0,24341906;93
94 ;B;m;0,27001486;94
95 ;B;m;0,2901265;95
96 ;B;m;0,32237412;96
97 ;B;m;0,33658486;97
98 ;B;m;0,36085453;98
99 ;B;m;0,38380214;99
100 ;B;m;0,40606396;100
0 ;A;f;0,00307816;0
1 ;A;f;0,0002348;1
2 ;A;f;0,00011769;2
3 ;A;f;0,00011507;3
4 ;A;f;9,6E-05;4
5 ;A;f;9,236E-05;5
6 ;A;f;8,063E-05;6
7 ;A;f;5,34E-05;7
8 ;A;f;6,38E-05;8
9 ;A;f;5,629E-05;9
10 ;A;f;6,195E-05;10
11 ;A;f;7,646E-05;11
12 ;A;f;8,856E-05;12
13 ;A;f;9,208E-05;13
14 ;A;f;0,00010112;14
15 ;A;f;0,000132;15
16 ;A;f;0,00015033;16
17 ;A;f;0,00014211;17
18 ;A;f;0,00019816;18
19 ;A;f;0,00018288;19
20 ;A;f;0,00019433;20
21 ;A;f;0,00017331;21
22 ;A;f;0,00017102;22
23 ;A;f;0,0001956;23
24 ;A;f;0,00017598;24
25 ;A;f;0,00018379;25
26 ;A;f;0,00020076;26
27 ;A;f;0,00022332;27
28 ;A;f;0,00024337;28
29 ;A;f;0,00026531;29
30 ;A;f;0,00031358;30
31 ;A;f;0,00032291;31
32 ;A;f;0,00034393;32
33 ;A;f;0,00035441;33
34 ;A;f;0,00041363;34
35 ;A;f;0,0004152;35
36 ;A;f;0,00044836;36
37 ;A;f;0,00046953;37
38 ;A;f;0,00059135;38
39 ;A;f;0,00058947;39
40 ;A;f;0,00069883;40
41 ;A;f;0,00072007;41
42 ;A;f;0,00080178;42
43 ;A;f;0,00090225;43
44 ;A;f;0,00100426;44
45 ;A;f;0,00113496;45
46 ;A;f;0,00125131;46
47 ;A;f;0,00140113;47
48 ;A;f;0,00160369;48
49 ;A;f;0,0017814;49
50 ;A;f;0,00189618;50
51 ;A;f;0,00214215;51
52 ;A;f;0,00240418;52
53 ;A;f;0,00265938;53
54 ;A;f;0,00297435;54
55 ;A;f;0,00329272;55
56 ;A;f;0,00361167;56
57 ;A;f;0,00397262;57
58 ;A;f;0,0044026;58
59 ;A;f;0,0047072;59
60 ;A;f;0,00535081;60
61 ;A;f;0,00572741;61
62 ;A;f;0,00612894;62
63 ;A;f;0,00667138;63
64 ;A;f;0,00732674;64
65 ;A;f;0,00797811;65
66 ;A;f;0,00873352;66
67 ;A;f;0,00961276;67
68 ;A;f;0,01056483;68
69 ;A;f;0,0111933;69
70 ;A;f;0,01267281;70
71 ;A;f;0,01361476;71
72 ;A;f;0,01477104;72
73 ;A;f;0,01619751;73
74 ;A;f;0,01730249;74
75 ;A;f;0,01926698;75
76 ;A;f;0,02158083;76
77 ;A;f;0,02425485;77
78 ;A;f;0,02776813;78
79 ;A;f;0,03207019;79
80 ;A;f;0,0379784;80
81 ;A;f;0,04362293;81
82 ;A;f;0,05046506;82
83 ;A;f;0,05751052;83
84 ;A;f;0,06688717;84
85 ;A;f;0,07770572;85
86 ;A;f;0,08870093;86
87 ;A;f;0,10087133;87
88 ;A;f;0,11511124;88
89 ;A;f;0,13085329;89
90 ;A;f;0,14958045;90
91 ;A;f;0,16877528;91
92 ;A;f;0,18889085;92
93 ;A;f;0,21046571;93
94 ;A;f;0,23250336;94
95 ;A;f;0,25874624;95
96 ;A;f;0,27447626;96
97 ;A;f;0,29650023;97
98 ;A;f;0,30789399;98
99 ;A;f;0,33060074;99
100 ;A;f;0,35313235;100
0 ;B;f;0,00300534;0
1 ;B;f;0,00024794;1
2 ;B;f;0,00012423;2
3 ;B;f;0,00010313;3
4 ;B;f;9,569E-05;4
5 ;B;f;8,908E-05;5
6 ;B;f;8,846E-05;6
7 ;B;f;4,646E-05;7
8 ;B;f;6,968E-05;8
9 ;B;f;6,117E-05;9
10 ;B;f;5,849E-05;10
11 ;B;f;7,733E-05;11
12 ;B;f;7,852E-05;12
13 ;B;f;9,421E-05;13
14 ;B;f;9,221E-05;14
15 ;B;f;0,00012167;15
16 ;B;f;0,00014725;16
17 ;B;f;0,00013616;17
18 ;B;f;0,00019702;18
19 ;B;f;0,00017479;19
20 ;B;f;0,00018488;20
21 ;B;f;0,0001649;21
22 ;B;f;0,00016281;22
23 ;B;f;0,00017996;23
24 ;B;f;0,00017994;24
25 ;B;f;0,00019022;25
26 ;B;f;0,0001882;26
27 ;B;f;0,00021518;27
28 ;B;f;0,00023564;28
29 ;B;f;0,00025877;29
30 ;B;f;0,00031713;30
31 ;B;f;0,000314;31
32 ;B;f;0,00034263;32
33 ;B;f;0,00036033;33
34 ;B;f;0,000406;34
35 ;B;f;0,00041213;35
36 ;B;f;0,0004585;36
37 ;B;f;0,00047466;37
38 ;B;f;0,00060325;38
39 ;B;f;0,00060115;39
40 ;B;f;0,0006857;40
41 ;B;f;0,00074026;41
42 ;B;f;0,00079376;42
43 ;B;f;0,00090807;43
44 ;B;f;0,00097058;44
45 ;B;f;0,00115224;45
46 ;B;f;0,00121751;46
47 ;B;f;0,0013703;47
48 ;B;f;0,00159405;48
49 ;B;f;0,00174807;49
50 ;B;f;0,0018532;50
51 ;B;f;0,0021427;51
52 ;B;f;0,00233297;52
53 ;B;f;0,00256767;53
54 ;B;f;0,0028887;54
55 ;B;f;0,00324545;55
56 ;B;f;0,00357696;56
57 ;B;f;0,00392413;57
58 ;B;f;0,00434941;58
59 ;B;f;0,00470636;59
60 ;B;f;0,00527596;60
61 ;B;f;0,00568588;61
62 ;B;f;0,00613444;62
63 ;B;f;0,0067489;63
64 ;B;f;0,00747267;64
65 ;B;f;0,00797044;65
66 ;B;f;0,00876211;66
67 ;B;f;0,00948222;67
68 ;B;f;0,01046567;68
69 ;B;f;0,0115546;69
70 ;B;f;0,01259879;70
71 ;B;f;0,01370178;71
72 ;B;f;0,01481358;72
73 ;B;f;0,01641616;73
74 ;B;f;0,01784317;74
75 ;B;f;0,01923138;75
76 ;B;f;0,02156594;76
77 ;B;f;0,02379649;77
78 ;B;f;0,02744802;78
79 ;B;f;0,03141447;79
80 ;B;f;0,03646149;80
81 ;B;f;0,04267387;81
82 ;B;f;0,04937895;82
83 ;B;f;0,05671146;83
84 ;B;f;0,06516314;84
85 ;B;f;0,07612466;85
86 ;B;f;0,08718;86
87 ;B;f;0,09994549;87
88 ;B;f;0,11420199;88
89 ;B;f;0,12951794;89
90 ;B;f;0,1474761;90
91 ;B;f;0,16763449;91
92 ;B;f;0,1875018;92
93 ;B;f;0,20897427;93
94 ;B;f;0,23016524;94
95 ;B;f;0,25277699;95
96 ;B;f;0,28565289;96
97 ;B;f;0,29901856;97
98 ;B;f;0,31311811;98
99 ;B;f;0,33696577;99
100 ;B;f;0,35983078;100
